OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31349,2024-056X,2024-11-28T12:14:33.046944,15.40711723,.0001968,43.0052,0.2884,287.1288,72.9353,0,U,59317,999,3972,.4609E-4,.1623E-4,0
STARLINK-31464,2024-056Y,2024-11-29T02:21:10.626624,15.40721817,.0002599,43.0027,356.9597,278.1954,81.8607,0,U,59318,999,3976,.92282E-4,.3555E-4,0
STARLINK-31402,2024-057A,2024-11-28T22:00:00.999936,15.80018867,.0011716,42.9948,305.2806,150.4952,164.4397,0,U,59320,999,598,.65602E-3,.127856E-2,0
STARLINK-31578,2024-057B,2024-11-28T06:24:25.085664,15.40693553,.0002737,43.0061,323.8723,271.4976,88.5567,0,U,59321,999,3824,.71915E-4,.27E-4,0
STARLINK-31530,2024-057C,2024-11-28T16:07:06.722976,15.40716166,.0002046,43.0032,321.7543,264.0500,96.0124,0,U,59322,999,3830,.22553E-3,.9134E-4,0
STARLINK-31565,2024-057D,2024-11-29T00:51:46.435968,15.40682708,.0001442,43.0031,319.3224,258.0324,102.0371,0,U,59323,999,3954,-.91853E-4,-.4136E-4,0
STARLINK-31570,2024-057E,2024-11-28T16:52:04.373760,15.40708800,.0000893,43.0028,321.1227,228.5617,131.5163,0,U,59324,999,3831,.92262E-4,.3554E-4,0
STARLINK-31611,2024-057F,2024-11-28T15:54:13.493088,15.40687870,.0003453,43.0065,321.6823,280.0751,79.9716,0,U,59325,999,3948,.63681E-5,-.39E-6,0
STARLINK-31632,2024-057G,2024-11-28T16:42:23.754528,15.40705476,.0002864,43.0066,321.0744,288.0998,71.9546,0,U,59326,999,3831,.29497E-4,.928E-5,0
STARLINK-31599,2024-057H,2024-11-29T00:06:46.510272,15.40710115,.0002396,43.0056,319.9543,261.6608,98.3977,0,U,59327,999,3952,.37158E-4,.1249E-4,0
STARLINK-31614,2024-057J,2024-11-28T16:00:39.705408,15.40706690,.0002239,42.9997,321.7177,282.8015,77.2591,0,U,59328,999,3830,.85554E-4,.3272E-4,0
STARLINK-31493,2024-057K,2024-11-28T16:13:33.592800,15.40697325,.0002114,42.9997,321.7881,262.1329,97.9288,0,U,59329,999,3830,-.33259E-5,-.443E-5,0
STARLINK-31634,2024-057L,2024-11-28T07:48:05.816448,15.40692434,.0001889,43.0028,323.4467,280.6504,79.4139,0,U,59330,999,3825,.82157E-5,.39E-6,0
STARLINK-31633,2024-057M,2024-11-28T23:02:15.690048,15.40710006,.0000832,42.9967,319.6115,107.3662,252.7285,0,U,59331,999,3959,-.97589E-4,-.4378E-4,0
STARLINK-31594,2024-057N,2024-11-29T00:16:15.004128,15.40714579,.0002093,43.0071,319.1368,272.3379,87.7238,0,U,59332,999,3954,.41831E-4,.1445E-4,0
STARLINK-31572,2024-057P,2024-11-29T00:09:50.535360,15.40666573,.0001052,43.0031,319.0968,283.1573,76.9166,0,U,59333,999,3954,-.10501E-3,-.4682E-4,0
STARLINK-31573,2024-057Q,2024-11-28T15:51:00.097056,15.40687315,.0000436,43.0001,321.6676,335.2524,24.8311,0,U,59334,999,3830,-.31427E-4,-.1615E-4,0
