OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EWS-G2 (GOES 15),2010-008A,2024-11-29T02:22:37.176960,1.00268821,.0006349,0.1705,272.8638,334.0462,278.8092,0,U,36411,999,5396,0,.65E-6,0
COMS 1,2010-032A,2024-11-28T19:50:05.921952,1.00270971,.0000612,3.3690,82.7365,170.1174,241.0616,0,U,36744,999,4542,0,-.317E-5,0
FENGYUN 3B,2010-059A,2024-11-29T05:41:04.577856,14.14630792,.002192,99.0391,4.5223,348.8229,123.3919,0,U,37214,999,72758,.21195E-3,.362E-5,0
SUOMI NPP,2011-061A,2024-11-29T02:48:51.005664,14.19507034,.0002031,98.7385,269.7140,110.9291,249.2102,0,U,37849,999,67826,.18684E-3,.35E-5,0
METEOSAT-10 (MSG-3),2012-035B,2024-11-29T02:05:06.269568,1.00267134,.0000903,3.3422,61.7844,218.4069,179.7859,0,U,38552,999,4555,0,.21E-6,0
METOP-B,2012-049A,2024-11-29T02:11:40.282080,14.21597019,.0000932,98.6071,27.4400,79.4607,280.6676,0,U,38771,999,63297,.23723E-3,.477E-5,0
INSAT-3D,2013-038B,2024-11-28T23:16:20.148096,1.00275192,.0001994,0.4600,90.6128,161.0671,295.2637,0,U,39216,999,4163,0,-.311E-5,0
FENGYUN 3C,2013-052A,2024-11-29T04:47:40.727616,14.16354129,.0010491,98.4392,325.1559,205.8736,154.1916,0,U,39260,999,57868,.21269E-3,.381E-5,0
METEOR-M 2,2014-037A,2024-11-29T03:25:34.966848,14.21149744,.0004744,98.4504,321.1382,232.7347,127.3398,0,U,40069,999,53905,.26668E-3,.538E-5,0
HIMAWARI-8,2014-060A,2024-11-28T19:53:36.102912,1.00273142,.0000706,0.0279,68.9446,167.6479,270.6489,0,U,40267,999,3709,0,-.248E-5,0
FENGYUN 2G,2014-090A,2024-11-28T21:50:14.385408,1.00264831,.000209,4.1989,79.6361,189.8294,225.8469,0,U,40367,999,3633,0,-.273E-5,0
METEOSAT-11 (MSG-4),2015-034A,2024-11-28T20:59:01.991904,1.00278618,.00015,1.7876,71.4775,190.7249,130.2870,0,U,40732,999,154,0,.92E-6,0
ELEKTRO-L 2,2015-074A,2024-11-28T15:43:23.130048,1.00272544,.0003713,5.2606,77.4619,188.8830,23.0895,0,U,41105,999,3283,0,-.9E-6,0
INSAT-3DR,2016-054A,2024-11-26T19:33:03.701088,1.00272827,.0014035,0.1505,91.9030,176.1726,165.4455,0,U,41752,999,3012,0,-.56E-6,0
HIMAWARI-9,2016-064A,2024-11-28T19:53:43.611072,1.00271671,.0001049,0.0498,123.5102,118.4339,265.4838,0,U,41836,999,2963,0,-.247E-5,0
GOES 16,2016-071A,2024-11-28T20:34:53.241024,1.00272156,.0001115,0.0245,255.1610,52.7799,353.8465,0,U,41866,999,2943,0,-.22E-5,0
